Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,8,8,0,0.5,306,2176,3063,5239,22,6,303
Bears,5,11,0,0.3125,319,1441,3792,5233,29,3,322
Bengals,10,5,0,0.666666666666667,365,2147,3421,5568,26,2,313
Bills,9,7,0,0.5625,343,1482,3614,5096,23,5,273
Broncos,12,4,0,0.75,482,1785,4661,6446,20,6,360
Browns,7,9,0,0.4375,299,1728,3465,5193,23,6,294
Buccaneers,2,14,0,0.125,277,1375,3297,4672,33,6,263
Cardinals,11,5,0,0.6875,310,1308,3808,5116,17,9,302
Chargers,9,7,0,0.5625,348,1367,4098,5465,23,6,326
Chiefs,9,7,0,0.5625,353,1918,3182,5100,17,5,309
Colts,11,5,0,0.6875,458,1612,4894,6506,31,3,371
Cowboys,12,4,0,0.75,467,2354,3784,6138,25,6,342
Dolphins,8,8,0,0.5,388,1872,3729,5601,23,6,361
Eagles,10,6,0,0.625,474,1992,4356,6348,36,15,356
Falcons,6,10,0,0.375,381,1498,4553,6051,23,5,330
Giants,6,10,0,0.375,380,1603,4272,5875,28,2,336
Jaguars,3,13,0,0.1875,249,1633,3001,4634,26,6,271
Jets,4,12,0,0.25,283,2280,2946,5226,24,0,289
Lions,11,5,0,0.6875,321,1422,4030,5452,20,4,310
Packers,12,4,0,0.75,486,1917,4261,6178,13,10,356
Panthers,7,8,1,0.4375,339,2036,3511,5547,23,5,347
Patriots,12,4,0,0.75,468,1727,4121,5848,13,6,361
Raiders,3,13,0,0.1875,253,1240,3275,4515,29,2,248
Rams,6,10,0,0.375,324,1635,3400,5035,27,8,288
Ravens,10,6,0,0.625,409,2019,3819,5838,20,4,345
Saints,7,9,0,0.4375,401,1818,4764,6582,30,0,395
Seahawks,12,4,0,0.75,394,2762,3250,6012,14,4,328
Steelers,11,5,0,0.6875,436,1752,4825,6577,21,10,379
Texans,9,7,0,0.5625,372,2161,3352,5513,22,11,313
Titans,2,14,0,0.125,254,1447,3412,4859,26,4,258
Vikings,7,9,0,0.4375,325,1804,3244,5048,20,9,288
Washington,4,12,0,0.25,301,1691,4047,5738,31,0,318
