Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,13,3,0,0.8125,479,2305,3792,6097,23,10,336
Bears,8,8,0,0.5,280,1458,3291,4749,19,3,297
Bengals,2,14,0,0.125,279,1517,3652,5169,30,1,312
Bills,10,6,0,0.625,314,2054,3229,5283,19,1,314
Broncos,7,9,0,0.4375,282,1662,3115,4777,16,2,279
Browns,6,10,0,0.375,335,1901,3554,5455,28,2,305
Buccaneers,7,9,0,0.4375,458,1521,4845,6366,41,12,353
Cardinals,5,10,1,0.3125,361,1990,3477,5467,18,0,314
Chargers,5,11,0,0.3125,337,1453,4426,5879,31,1,349
Chiefs,12,4,0,0.75,451,1569,4498,6067,15,6,350
Colts,7,9,0,0.4375,361,2130,3108,5238,21,2,340
Cowboys,8,8,0,0.5,434,2153,4751,6904,18,2,379
Dolphins,5,11,0,0.3125,306,1156,3804,4960,26,3,315
Eagles,9,7,0,0.5625,385,1939,3833,5772,23,6,354
Falcons,7,9,0,0.4375,381,1361,4714,6075,25,4,383
Giants,4,12,0,0.25,341,1685,3731,5416,33,5,311
Jaguars,6,10,0,0.375,300,1708,3760,5468,20,4,298
Jets,7,9,0,0.4375,276,1257,3111,4368,25,10,253
Lions,3,12,1,0.1875,341,1649,3900,5549,23,3,313
Packers,13,3,0,0.8125,376,1795,3733,5528,13,0,320
Panthers,5,11,0,0.3125,340,1819,3650,5469,35,2,335
Patriots,12,4,0,0.75,420,1703,3961,5664,15,12,338
Raiders,7,9,0,0.4375,313,1893,3926,5819,17,4,315
Rams,9,7,0,0.5625,394,1499,4499,5998,24,6,342
Ravens,14,2,0,0.875,531,3296,3225,6521,15,11,386
Saints,13,3,0,0.8125,458,1738,4244,5982,8,7,347
Seahawks,11,5,0,0.6875,405,2200,3791,5991,20,6,341
Steelers,8,8,0,0.5,289,1447,2981,4428,30,7,265
Texans,10,6,0,0.625,378,2009,3783,5792,22,4,346
Titans,9,7,0,0.5625,402,2223,3582,5805,17,6,317
Vikings,10,6,0,0.625,407,2133,3523,5656,20,4,314
Washington,3,13,0,0.1875,266,1583,2822,4405,21,1,248
