Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,4,12,0,0.25,342,1902,3867,5769,32,3,344
Bears,12,4,0,0.75,421,1938,3564,5502,24,12,331
Bengals,6,10,0,0.375,368,1682,3290,4972,17,9,304
Bills,6,10,0,0.375,269,1984,2794,4778,32,1,283
Broncos,6,10,0,0.375,329,1907,3695,5602,21,4,320
Browns,7,8,0,0.466666666666667,359,1893,4007,5900,24,0,314
Buccaneers,5,11,0,0.3125,396,1523,5125,6648,35,3,388
Cardinals,3,13,0,0.1875,225,1342,2523,3865,28,5,239
Chargers,12,4,0,0.75,428,1873,4089,5962,19,3,338
Chiefs,12,4,0,0.75,565,1855,4955,6810,18,9,384
Colts,10,6,0,0.625,433,1718,4461,6179,24,0,371
Cowboys,10,6,0,0.625,339,1963,3538,5501,17,2,322
Dolphins,7,9,0,0.4375,319,1738,2900,4638,23,6,252
Eagles,9,7,0,0.5625,367,1570,4275,5845,23,0,346
Falcons,7,9,0,0.4375,414,1573,4653,6226,18,4,352
Giants,5,11,0,0.3125,369,1650,4047,5697,19,5,297
Jaguars,5,11,0,0.3125,245,1723,3109,4832,29,5,277
Jets,4,12,0,0.25,333,1622,3165,4787,30,8,258
Lions,6,10,0,0.375,324,1660,3576,5236,19,4,325
Packers,6,9,1,0.375,376,1667,4238,5905,15,3,332
Panthers,7,9,0,0.4375,376,2136,3836,5972,22,1,356
Patriots,11,5,0,0.6875,436,2037,4258,6295,18,6,365
Raiders,4,12,0,0.25,290,1628,3751,5379,24,3,300
Rams,13,3,0,0.8125,527,2231,4507,6738,19,9,401
Ravens,10,6,0,0.625,389,2441,3558,5999,20,7,367
Saints,13,3,0,0.8125,504,2025,4042,6067,16,2,377
Seahawks,10,6,0,0.625,428,2560,3093,5653,11,4,329
Steelers,9,6,0,0.6,428,1445,5008,6453,26,6,378
Texans,11,5,0,0.6875,402,2021,3781,5802,16,8,333
Titans,9,7,0,0.5625,310,2023,2975,4998,18,3,289
Vikings,8,7,0,0.533333333333333,360,1493,4036,5529,20,6,310
Washington,7,9,0,0.4375,281,1774,3021,4795,19,2,280
