Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,6,10,0,0.375,331,1664,3925,5589,23,1,321
Bears,5,11,0,0.3125,264,1788,2811,4599,22,7,267
Bengals,7,9,0,0.4375,290,1366,3122,4488,23,6,267
Bills,9,7,0,0.5625,302,2017,2825,4842,16,6,278
Broncos,5,11,0,0.3125,289,1852,3333,5185,34,8,297
Buccaneers,5,16,0,0.238095238095238,335,1450,4366,5816,27,6,352
Cardinals,8,11,0,0.421052631578947,295,1386,3640,5026,25,4,310
Chargers,9,8,0,0.529411764705882,355,1595,4431,6026,15,8,337
Chiefs,10,7,0,0.588235294117647,415,1903,4104,6007,11,7,322
Colts,4,6,0,0.4,263,1661,2892,4553,15,2,267
Cowboys,9,12,0,0.428571428571429,354,2170,3141,5311,22,3,314
Dolphins,6,7,0,0.461538461538462,281,1388,3535,4923,29,6,284
Eagles,13,10,0,0.565217391304348,457,2115,3737,5852,20,10,338
Falcons,10,3,0,0.769230769230769,353,1847,3990,5837,18,5,330
Giants,3,6,0,0.333333333333333,246,1549,3479,5028,22,4,271
Jaguars,10,13,0,0.434782608695652,417,2262,3593,5855,23,13,332
Jets,5,6,0,0.454545454545455,298,1702,3182,4884,24,0,269
Lions,9,11,0,0.45,410,1221,4183,5404,22,11,296
Packers,7,7,0,0.5,320,1724,3167,4891,25,4,307
Panthers,11,9,0,0.55,363,2102,3077,5179,22,4,320
Patriots,13,5,0,0.722222222222222,458,1889,4418,6307,12,1,389
Raiders,6,3,0,0.666666666666667,301,1554,3631,5185,28,0,287
Rams,11,10,0,0.523809523809524,478,1953,3831,5784,21,9,311
Ravens,9,5,0,0.642857142857143,395,1856,3030,4886,17,13,311
Saints,11,7,0,0.611111111111111,448,2070,4189,6259,18,8,332
Seahawks,9,5,0,0.642857142857143,366,1629,3657,5286,17,9,299
Steelers,13,7,0,0.65,406,1667,4380,6047,20,2,348
Texans,4,3,0,0.571428571428571,338,1842,3278,5120,28,8,313
Titans,9,12,0,0.428571428571429,334,1833,3191,5024,25,2,290
Vikings,13,7,0,0.65,382,1957,3753,5710,14,2,334
Washington,7,3,0,0.7,342,1448,3751,5199,27,3,278
49ers,6,9,0,0.4,331,1664,3925,5589,23,1,321
