Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,6,10,0,0.375,305,1657,3356,5013,23,8,251
Bears,11,5,0,0.6875,334,1616,3015,4631,31,5,263
Bengals,4,12,0,0.25,322,1522,3767,5289,34,4,317
Bills,4,12,0,0.25,283,1720,3158,4878,39,7,263
Broncos,4,12,0,0.25,344,1544,4038,5582,27,3,309
Browns,5,11,0,0.3125,271,1646,2989,4635,29,6,265
Buccaneers,10,6,0,0.625,341,2001,3361,5362,19,7,288
Cardinals,5,11,0,0.3125,289,1388,2921,4309,35,19,241
Chargers,9,7,0,0.5625,441,1810,4519,6329,29,6,357
Chiefs,10,6,0,0.625,366,2627,2968,5595,14,7,319
Colts,10,6,0,0.625,435,1483,4609,6092,25,8,366
Cowboys,6,10,0,0.375,394,1786,4042,5828,30,11,327
Dolphins,7,9,0,0.4375,273,1643,3527,5170,31,2,300
Eagles,10,6,0,0.625,439,2324,3906,6230,25,5,322
Falcons,13,3,0,0.8125,414,1891,3567,5458,17,8,353
Giants,10,6,0,0.625,394,2200,3885,6085,42,0,331
Jaguars,8,8,0,0.5,353,2395,3065,5460,33,1,330
Jets,11,5,0,0.6875,367,2374,3242,5616,21,8,307
Lions,6,10,0,0.375,362,1613,3810,5423,25,7,304
Packers,10,6,0,0.625,388,1606,4124,5730,22,7,312
Panthers,2,13,0,0.133333333333333,193,1772,2244,4016,35,2,218
Patriots,14,2,0,0.875,518,1973,3847,5820,10,14,335
Raiders,8,8,0,0.5,410,2494,3180,5674,26,10,306
Rams,7,9,0,0.4375,289,1578,3268,4846,21,0,292
Ravens,12,4,0,0.75,357,1831,3335,5166,20,7,303
Saints,11,5,0,0.6875,384,1519,4441,5960,31,4,351
Seahawks,7,9,0,0.4375,310,1424,3341,4765,31,8,260
Steelers,11,4,0,0.733333333333333,348,1809,3308,5117,16,7,273
Texans,6,10,0,0.375,390,2042,4144,6186,18,0,360
Titans,6,10,0,0.375,356,1727,3107,4834,29,4,252
Vikings,6,10,0,0.375,281,1942,3097,5039,37,5,289
Washington,6,10,0,0.375,302,1461,3913,5374,31,5,295
