Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,12,4,0,0.75,406,2201,2979,5180,18,8,286
Bears,8,8,0,0.5,445,1828,4281,6109,23,13,344
Bengals,11,5,0,0.6875,430,1755,4136,5891,30,12,330
Bills,6,10,0,0.375,339,2307,3103,5410,27,6,301
Broncos,13,3,0,0.8125,606,1873,5444,7317,26,7,435
Browns,4,12,0,0.25,308,1383,4047,5430,29,9,301
Buccaneers,4,12,0,0.25,288,1612,2820,4432,21,6,269
Cardinals,10,6,0,0.625,379,1540,4002,5542,31,10,329
Chargers,9,7,0,0.5625,396,1965,4328,6293,21,2,373
Chiefs,11,5,0,0.6875,430,2056,3340,5396,18,17,323
Colts,11,5,0,0.6875,391,1743,3725,5468,14,3,318
Cowboys,8,8,0,0.5,439,1504,3954,5458,20,11,325
Dolphins,8,8,0,0.5,317,1440,3567,5007,26,4,278
Eagles,10,6,0,0.625,442,2566,4110,6676,19,3,355
Falcons,4,12,0,0.25,353,1247,4243,5490,28,6,330
Giants,7,9,0,0.4375,294,1332,3588,4920,44,5,280
Jaguars,4,12,0,0.25,247,1260,3441,4701,27,4,271
Jets,8,8,0,0.5,290,2158,2932,5090,29,3,280
Lions,7,9,0,0.4375,395,1792,4482,6274,34,6,350
Packers,8,7,1,0.5,417,2136,4268,6404,25,6,351
Panthers,12,4,0,0.75,366,2026,3043,5069,19,8,319
Patriots,12,4,0,0.75,444,2065,4087,6152,20,6,378
Raiders,4,12,0,0.25,322,2000,3340,5340,31,6,275
Rams,7,9,0,0.4375,348,1752,3125,4877,21,10,282
Ravens,8,8,0,0.5,320,1328,3590,4918,29,4,295
Saints,11,5,0,0.6875,414,1473,4918,6391,19,0,359
Seahawks,13,3,0,0.8125,417,2188,3236,5424,19,8,307
Steelers,8,8,0,0.5,379,1383,4017,5400,24,7,312
Texans,2,14,0,0.125,276,1743,3813,5556,31,3,307
Titans,7,9,0,0.4375,362,1894,3496,5390,25,5,311
Vikings,5,10,1,0.3125,391,2081,3427,5508,32,5,309
Washington,3,13,0,0.1875,334,2164,3751,5915,34,10,329
