Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,11,4,0,0.733333333333333,397,2491,3298,5789,16,7,322
Bears,10,6,0,0.625,375,1970,2999,4969,24,19,292
Bengals,10,6,0,0.625,391,1745,3578,5323,26,7,292
Bills,6,10,0,0.375,344,2217,3269,5486,34,5,301
Broncos,13,3,0,0.8125,481,1832,4534,6366,25,14,380
Browns,5,11,0,0.3125,302,1593,3435,5028,26,5,279
Buccaneers,7,9,0,0.4375,389,1837,3983,5820,23,7,301
Cardinals,5,11,0,0.3125,250,1204,3005,4209,34,7,246
Chargers,7,9,0,0.4375,350,1461,3295,4756,26,16,293
Chiefs,2,14,0,0.125,211,2395,2713,5108,37,1,286
Colts,11,5,0,0.6875,357,1671,4128,5799,27,10,360
Cowboys,8,8,0,0.5,376,1265,4729,5994,29,7,338
Dolphins,7,9,0,0.4375,288,1802,3182,4984,26,3,288
Eagles,4,12,0,0.25,280,1874,3791,5665,37,1,332
Falcons,13,3,0,0.8125,419,1397,4509,5906,18,4,342
Giants,9,7,0,0.5625,429,1862,3825,5687,21,5,327
Jaguars,2,14,0,0.125,255,1369,3419,4788,26,1,269
Jets,6,10,0,0.375,281,1896,2891,4787,37,8,299
Lions,4,12,0,0.25,372,1613,4927,6540,33,0,382
Packers,11,5,0,0.6875,433,1702,4049,5751,16,6,341
Panthers,7,9,0,0.4375,357,2088,3683,5771,22,7,328
Patriots,12,4,0,0.75,557,2184,4662,6846,16,12,444
Raiders,4,12,0,0.25,290,1420,4084,5504,26,0,300
Rams,7,8,0,0.466666666666667,299,1714,3550,5264,22,10,287
Ravens,10,6,0,0.625,398,1901,3739,5640,16,7,314
Saints,7,9,0,0.4375,461,1577,4997,6574,24,9,352
Seahawks,11,5,0,0.6875,412,2579,3031,5610,18,8,311
Steelers,8,8,0,0.5,336,1537,3787,5324,30,2,307
Texans,12,4,0,0.75,416,2123,3830,5953,17,8,341
Titans,6,10,0,0.375,330,1687,3323,5010,28,14,260
Vikings,10,6,0,0.625,379,2634,2751,5385,23,8,306
Washington,10,6,0,0.625,436,2709,3422,6131,14,10,341
